date,open,high,low,close,volume,shares_calculated,shares_actual,relative_daily_return,relative_cumulative_return,absolute_daily_return,asset_value_BoP,asset_value_EoP
2025-01-21,34.86270523071289,34.86270523071289,34.86270523071289,34.86270523071289,0,32.01430581307718,30,0.0,0.11890256313504466,0.0,1116.11,1116.11
2025-01-22,35.62265369204749,36.3826029127331,35.33767318725586,35.33767318725586,5469,32.01430581307718,30,0.013623955840481816,0.1341464422449985,15.200000000000045,1116.11,1131.31
2025-01-23,35.52766217219274,35.52766217219274,34.29274058499139,34.86270523071289,9023,32.01430581307718,30,-0.013440838450966885,0.11890256313504466,-15.200000000000045,1131.31,1116.11
2025-01-24,34.86270523071289,34.86270523071289,34.86270523071289,34.86270523071289,0,32.01430581307718,30,0.0,0.11890256313504466,0.0,1116.11,1116.11
2025-01-27,33.437795462629644,33.437795462629644,32.392862202836696,32.7728385925293,8295,32.01430581307718,30,-0.05994562453927099,0.051829250189323384,-66.90999999999985,1116.11,1049.2
2025-01-28,32.487860606484695,32.77284110877276,32.297872397051414,32.67784881591797,2934,32.01430581307718,30,-0.0028984299404868352,0.04878059679829483,-3.0399999999999636,1049.2,1046.16
2025-01-29,32.7728385925293,33.05781907293704,32.392862202836696,32.7728385925293,3649,32.01430581307718,30,0.002906855256795682,0.05182925018932316,3.0399999999999636,1046.16,1049.2
2025-01-30,32.962829376105375,34.38773551377226,32.582852956571394,34.00775909423828,7263,32.01430581307718,30,0.03768121880020758,0.09146345830616531,39.52999999999997,1049.2,1088.73
2025-01-31,34.19774599480838,34.577722399795675,32.96282811418501,33.91276550292969,6496,32.01430581307718,30,-0.0027932917027951865,0.0884146824841745,-3.0399999999999636,1088.73,1085.69
2025-02-03,33.15281859282549,34.102756046789274,32.77284216175046,33.817771911621094,4505,32.01430581307718,30,-0.002801116036979856,0.08536590666218369,-3.0399999999999636,1085.69,1082.65
2025-02-04,34.10275341939253,34.10275341939253,32.77283963681497,33.627784729003906,5247,32.01430581307718,30,-0.005617968656057459,0.07926835501820206,-6.080000000000155,1082.65,1076.57
2025-02-05,33.912766801216634,34.38773551377226,33.53279038168265,34.00775909423828,7252,32.01430581307718,30,0.011299417083119545,0.09146345830616509,12.160000000000082,1076.57,1088.73
2025-02-06,34.19774802919543,35.337673688246696,34.19774802919543,34.57772445678711,8565,32.01430581307718,30,0.01675986238815108,0.109756235669072,18.25,1088.73,1106.98
2025-02-07,34.95769726065502,35.337673688246696,34.19774802919543,34.57772445678711,4730,32.01430581307718,30,0.0,0.109756235669072,0.0,1106.98,1106.98
2025-02-10,34.57772445678711,34.57772445678711,34.57772445678711,34.57772445678711,0,32.01430581307718,30,0.0,0.109756235669072,0.0,1106.98,1106.98
2025-02-11,38.187483989686434,38.187483989686434,37.522527088686516,37.61751937866211,10436,32.01430581307718,30,0.08791194243201073,0.20731706197277644,97.31999999999994,1106.98,1204.3
2025-02-12,37.80750729849563,37.90250321148162,36.85756991097703,37.33253860473633,7263,32.01430581307718,30,-0.007575746052182031,0.19817073450680422,-9.11999999999989,1204.3,1195.18
2025-02-13,37.04755885424189,37.23754706029042,36.57259015098238,36.85757064819336,6868,32.01430581307718,30,-0.012722626810133697,0.18292685539685039,-15.210000000000036,1195.18,1179.97
2025-02-14,37.047560349194825,37.617521366616,36.95256805419922,36.95256805419922,5356,32.01430581307718,30,0.002577419084741406,0.18597575364980345,3.0399999999999636,1179.97,1183.01
2025-02-17,36.85757064819336,37.04755885424189,36.382601944933846,36.85757064819336,9733,32.01430581307718,30,-0.0025707930736106333,0.18292685539685039,-3.0399999999999636,1183.01,1179.97
2025-02-18,36.85757064819336,36.85757064819336,36.85757064819336,36.85757064819336,0,32.01430581307718,30,0.0,0.18292685539685039,0.0,1179.97,1179.97
2025-02-19,36.95256704421282,37.61752033845512,36.09762191772461,36.09762191772461,9172,32.01430581307718,30,-0.02061852469123604,0.15853664882092433,-24.329999999999927,1179.97,1155.64
2025-02-20,36.47759713020372,37.52252680698476,36.28760892795529,37.33253860473633,4315,32.01430581307718,30,0.03421047208667649,0.19817073450680422,39.539999999999964,1155.64,1195.18
2025-02-21,37.23754809963008,37.33254039344387,36.66758346557617,36.66758346557617,4510,32.01430581307718,30,-0.01781167753418711,0.17682930375286898,-21.289999999999964,1195.18,1173.89
