date,open,high,low,close,volume,shares_owned,relative_daily_return,relative_cumulative_return,absolute_daily_return,asset_value_BoP,asset_value_EoP
2023-11-22,22.750676424980124,22.750676424980124,21.886725250376035,22.366697311401367,290,20,-0.004273528222998868,0.23156523464252254,-1.920000000000016,449.25,447.33
2023-11-23,21.982719860078213,23.422636032104492,21.982719860078213,23.422636032104492,750,20,0.04721031031098466,0.28970781153821656,21.120000000000005,447.33,468.45
2023-11-24,23.134653091430664,23.134653091430664,23.134653091430664,23.134653091430664,100,20,-0.012295069618940446,0.27385076420726295,-5.759999999999991,468.45,462.69
2023-11-27,23.710621699926378,23.998604218165077,23.038660049438477,23.038660049438477,3685,20,-0.0041493184104733905,0.2685651517791421,-1.920000000000016,462.69,460.77
2023-11-28,23.134653359808713,23.326641082763672,23.134653359808713,23.326641082763672,210,20,0.012499903757736686,0.2844220940868001,5.759999999999991,460.77,466.53
2023-11-29,23.038658582857188,23.326641082763672,23.038658582857188,23.326641082763672,830,20,0.0,0.2844220940868001,0.0,466.53,466.53
2023-11-30,23.518630981445312,23.518630981445312,23.518630981445312,23.518630981445312,200,20,0.008230499110457146,0.29499352898963305,3.840000000000032,466.53,470.37
2023-12-01,23.326642901608402,23.614627254917924,23.230649948120117,23.230649948120117,440,20,-0.012244804281014265,0.27913658668197505,-5.759999999999991,470.37,464.61
2023-12-04,23.614626100383692,23.710620880126953,23.42263654089717,23.710620880126953,550,20,0.020661106472644297,0.30556496389246623,9.599999999999966,464.61,474.21
2023-12-05,23.422637287989595,24.286586671339354,23.422637287989595,24.190593719482422,575,20,0.02024294689633188,0.3319934461262528,9.600000000000023,474.21,483.81
2023-12-06,24.094597133829158,24.478574405370853,24.094597133829158,24.286584854125977,800,20,0.003968118176704616,0.33727895353107784,1.920000000000016,483.81,485.73
2023-12-07,24.382580743077387,24.958547592163086,24.382580743077387,24.958547592163086,250,20,0.027668062103962443,0.3742788706676976,13.439999999999998,485.73,499.17
2023-12-08,24.67056655883789,24.67056655883789,24.67056655883789,24.67056655883789,0,20,-0.011538373066853458,0.3584219283600396,-5.759999999999991,499.17,493.41
2023-12-11,24.47857457977317,24.47857457977317,24.382579803466797,24.382579803466797,500,20,-0.011673293139995877,0.3425646709824943,-5.760000000000048,493.41,487.65
2023-12-12,24.574568904557974,24.574568904557974,24.09459686279297,24.09459686279297,1100,20,-0.01181101191896361,0.3267076236515407,-5.759999999999991,487.65,481.89
2023-12-13,24.09459686279297,24.09459686279297,24.09459686279297,24.09459686279297,0,20,0.0,0.3267076236515407,0.0,481.89,481.89
2023-12-14,23.326641082763672,23.326641082763672,23.326641082763672,23.326641082763672,0,20,-0.03187253077536145,0.2844220940868003,-15.360000000000014,481.89,466.53
2023-12-15,24.190591637335576,24.190591637335576,24.09459686279297,24.09459686279297,120,20,0.03292183290789974,0.3267076236515407,15.360000000000014,466.53,481.89
2023-12-18,23.998603125834002,25.150536808253282,23.998603125834002,24.766557693481445,535,20,0.027888444638230148,0.36370743576486464,13.439999999999998,481.89,495.33
2023-12-19,25.054542201525933,25.43851948798514,24.862552642822266,24.862552642822266,216,20,0.00387599078276768,0.3689931532162809,1.920000000000016,495.33,497.25
2023-12-20,24.574570059428268,24.574570059428268,23.614625930786133,23.614625930786133,250,20,-0.05019302442367701,0.30027924644104953,-24.95999999999998,497.25,472.29
2023-12-21,23.902606964111328,23.902606964111328,23.902606964111328,23.902606964111328,0,20,0.012195028376450257,0.3161361887487075,5.759999999999991,472.29,478.05
2023-12-22,23.80661392211914,23.80661392211914,23.80661392211914,23.80661392211914,0,20,-0.004016007213619721,0.31085057632058666,-1.920000000000016,478.05,476.13
2023-12-27,24.862551530491626,25.3425235748291,24.094596991930885,25.3425235748291,443,20,0.06451609026527372,0.39542153042677164,30.720000000000027,476.13,506.85
2023-12-28,24.286584854125977,24.286584854125977,24.286584854125977,24.286584854125977,0,20,-0.041666676074513465,0.3372789535310776,-21.120000000000005,506.85,485.73
2023-12-29,24.670564479806647,24.670564479806647,24.574569702148438,24.574569702148438,200,20,0.011857774559585144,0.35313610588532707,5.759999999999991,485.73,491.49
2024-01-02,24.574569036268358,25.3425235748291,24.574569036268358,25.3425235748291,900,20,0.031249941788951352,0.39542153042677186,15.360000000000014,491.49,506.85
2024-01-03,25.054542372168726,25.054542372168726,24.958547592163086,24.958547592163086,26,20,-0.01515145015184638,0.3742788706676974,-7.680000000000007,506.85,499.17
2024-01-04,24.862552642822266,24.862552642822266,24.862552642822266,24.862552642822266,0,20,-0.0038461753027232426,0.3689931532162809,-1.920000000000016,499.17,497.25
2024-01-05,24.574571773090035,24.67056655883789,24.574571773090035,24.67056655883789,82,20,-0.0077218975357222774,0.3584219283600394,-3.839999999999975,497.25,493.41
2024-01-08,25.054541080605834,25.3425235748291,25.054541080605834,25.3425235748291,100,20,0.027237194346089844,0.39542153042677186,13.439999999999998,493.41,506.85
2024-01-09,25.43852118292423,25.43852118292423,24.67056655883789,24.67056655883789,661,20,-0.026515000134344047,0.3584219283600394,-13.439999999999998,506.85,493.41
2024-01-10,24.286584854125977,24.286584854125977,24.286584854125977,24.286584854125977,0,20,-0.015564365082420761,0.3372789535310776,-7.680000000000007,493.41,485.73
2024-01-11,24.478575941559416,25.246530532836914,24.478575941559416,25.246530532836914,160,20,0.039525758128477806,0.390135917998651,19.19999999999999,485.73,504.93
2024-01-12,24.190593719482422,24.190593719482422,24.190593719482422,24.190593719482422,0,20,-0.0418250266895519,0.3319934461262526,-21.120000000000005,504.93,483.81
2024-01-15,25.15053653714959,25.15053653714959,24.574569702148438,24.574569702148438,1000,20,0.015872945787055004,0.35313610588532707,7.680000000000007,483.81,491.49
2024-01-16,24.094598234008608,24.958547592163086,24.094598234008608,24.958547592163086,1040,20,0.015625009701841552,0.3742788706676974,7.680000000000007,491.49,499.17
